DATAH	Record	Date	Time	INPUT3	CHK	
DATA	0000359	2023-11-01	12:45:42	0.030056	190
DATA	0000360	2023-11-01	12:45:42	0.0016859	245
DATA	0000361	2023-11-01	12:45:42	0.015195	190
DATA	0000362	2023-11-01	12:45:42	0.0000	 74
DATA	0000363	2023-11-01	12:45:42	0.0075399	252
DATA	0000364	2023-11-01	12:45:42	0.0000	 76
DATA	0000365	2023-11-01	12:45:42	0.021274	189
DATA	0000366	2023-11-01	12:45:42	0.0000	 78
DATA	0000367	2023-11-01	12:45:42	0.028705	197
DATA	0000368	2023-11-01	12:45:42	0.012719	196
DATA	0000369	2023-11-01	12:45:42	0.017672	200
DATA	0000370	2023-11-01	12:45:42	0.013844	189
DATA	0000371	2023-11-01	12:45:42	0.0064142	235
DATA	0000372	2023-11-01	12:45:42	0.011593	190
DATA	0000373	2023-11-01	12:45:42	0.016997	204
DATA	0000374	2023-11-01	12:45:42	0.0000	 77
DATA	0000375	2023-11-01	12:45:42	0.013394	194
DATA	0000376	2023-11-01	12:45:42	0.0000	 79
DATA	0000377	2023-11-01	12:45:42	0.024652	195
DATA	0000378	2023-11-01	12:45:42	0.021049	193
DATA	0000379	2023-11-01	12:45:42	0.0000	 82
DATA	0000380	2023-11-01	12:45:42	0.0000	 74
DATA	0000381	2023-11-01	12:45:42	0.0000	 75
DATA	0000382	2023-11-01	12:45:42	0.0041626	239
DATA	0000383	2023-11-01	12:45:42	0.0000	 77
DATA	0000384	2023-11-01	12:45:42	0.030281	188
DATA	0000385	2023-11-01	12:45:42	0.030506	189
DATA	0000386	2023-11-01	12:45:42	0.0000	 80
DATA	0000387	2023-11-01	12:45:42	0.020374	193
DATA	0000388	2023-11-01	12:45:42	0.024877	206
DATA	0000389	2023-11-01	12:45:42	0.0000	 83
DATA	0000390	2023-11-01	12:45:42	0.0000	 75
DATA	0000391	2023-11-01	12:45:42	0.012493	191
DATA	0000392	2023-11-01	12:45:42	0.026903	193
DATA	0000393	2023-11-01	12:45:42	0.0000	 78
DATA	0000394	2023-11-01	12:45:42	0.00078524	 41
DATA	0000395	2023-11-01	12:45:42	0.0000	 80
DATA	0000396	2023-11-01	12:45:42	0.015195	198
DATA	0000397	2023-11-01	12:45:42	0.030056	192
DATA	0000398	2023-11-01	12:45:42	0.0000	 83
DATA	0000399	2023-11-01	12:45:42	0.0000	 84
DATA	0000400	2023-11-01	12:45:42	0.0000	 67
DATA	0000401	2023-11-01	12:45:42	0.0000	 68
DATA	0000402	2023-11-01	12:45:42	0.0000	 69
DATA	0000403	2023-11-01	12:45:42	0.020824	182
DATA	0000404	2023-11-01	12:45:42	0.023751	185
DATA	0000405	2023-11-01	12:45:42	0.026453	188
DATA	0000406	2023-11-01	12:45:42	0.020824	185
DATA	0000407	2023-11-01	12:45:42	0.024877	198
