date,time,Epar
11/1/23,12:45:42,90.417
11/1/23,12:45:42,92.351
11/1/23,12:45:42,88.454
11/1/23,12:45:42,87.79
11/1/23,12:45:42,87.342
11/1/23,12:45:42,86.072
11/1/23,12:45:42,87.357
11/1/23,12:45:42,86.527
11/1/23,12:45:42,83.593
11/1/23,12:45:42,81.31
11/1/23,12:45:42,79.004
11/1/23,12:45:42,78.137
11/1/23,12:45:42,76.906
11/1/23,12:45:42,76.987
11/1/23,12:45:42,77.966
11/1/23,12:45:42,78.108
11/1/23,12:45:42,79.015
11/1/23,12:45:42,79.295
11/1/23,12:45:42,78.583
11/1/23,12:45:42,78.252
11/1/23,12:45:42,77.545
11/1/23,12:45:42,77.543
11/1/23,12:45:42,77.547
11/1/23,12:45:42,76.762
11/1/23,12:45:42,75.892
11/1/23,12:45:42,75.237
11/1/23,12:45:42,74.107
11/1/23,12:45:42,72.878
11/1/23,12:45:42,72.853
11/1/23,12:45:42,73.24
11/1/23,12:45:42,73.634
11/1/23,12:45:42,73.078
11/1/23,12:45:42,71.819
11/1/23,12:45:42,70.502
11/1/23,12:45:42,69.77
11/1/23,12:45:42,67.818
11/1/23,12:45:42,65.871
11/1/23,12:45:42,63.973
11/1/23,12:45:42,62.68
11/1/23,12:45:42,61.464
11/1/23,12:45:42,60.077
11/1/23,12:45:42,59.163
11/1/23,12:45:42,58.445
11/1/23,12:45:42,58.346
11/1/23,12:45:42,58.022
11/1/23,12:45:42,57.283
11/1/23,12:45:42,57.063
11/1/23,12:45:42,56.903
11/1/23,12:45:42,56.715
11/1/23,12:45:42,55.813
11/1/23,12:45:42,55.138
11/1/23,12:45:42,53.728
11/1/23,12:45:42,53.463
11/1/23,12:45:42,52.465
11/1/23,12:45:42,51.205
11/1/23,12:45:42,50.633
11/1/23,12:45:42,50.468
11/1/23,12:45:42,49.93
11/1/23,12:45:42,49.602
11/1/23,12:45:42,48.969
11/1/23,12:45:42,47.91
11/1/23,12:45:42,47.155
11/1/23,12:45:42,45.895
11/1/23,12:45:42,44.736
11/1/23,12:45:42,44.496
11/1/23,12:45:42,44.235
11/1/23,12:45:42,43.878
11/1/23,12:45:42,43.603
11/1/23,12:45:42,43.116
11/1/23,12:45:42,42.378
11/1/23,12:45:42,41.902
11/1/23,12:45:42,41.294
11/1/23,12:45:42,40.642
11/1/23,12:45:42,39.512
11/1/23,12:45:42,38.955
11/1/23,12:45:42,38.483
11/1/23,12:45:42,37.795
11/1/23,12:45:42,36.918
11/1/23,12:45:42,35.708
11/1/23,12:45:42,34.482
11/1/23,12:45:42,33.166
11/1/23,12:45:42,31.928
11/1/23,12:45:42,30.407
11/1/23,12:45:42,29.363
11/1/23,12:45:42,28.485
11/1/23,12:45:42,27.829
11/1/23,12:45:42,27.222
11/1/23,12:45:42,26.456
11/1/23,12:45:42,26.222
11/1/23,12:45:42,25.976
11/1/23,12:45:42,25.738
11/1/23,12:45:42,25.241
11/1/23,12:45:42,24.314
11/1/23,12:45:42,23.352
11/1/23,12:45:42,22.454
11/1/23,12:45:42,21.37
11/1/23,12:45:42,20.216
11/1/23,12:45:42,19.188
11/1/23,12:45:42,18.046
11/1/23,12:45:42,16.907
11/1/23,12:45:42,15.696
11/1/23,12:45:42,14.57
11/1/23,12:45:42,13.572
11/1/23,12:45:42,12.609
11/1/23,12:45:42,11.616
11/1/23,12:45:42,10.711
11/1/23,12:45:42,9.9047
11/1/23,12:45:42,9.1554
11/1/23,12:45:42,8.4007
11/1/23,12:45:42,7.6426
11/1/23,12:45:42,6.8645
11/1/23,12:45:42,6.1264
11/1/23,12:45:42,5.4635
11/1/23,12:45:42,4.9342
11/1/23,12:45:42,4.4159
11/1/23,12:45:42,3.9568
11/1/23,12:45:42,3.5828
11/1/23,12:45:42,3.1537
11/1/23,12:45:42,2.779
11/1/23,12:45:42,2.3902
11/1/23,12:45:42,2.065
11/1/23,12:45:42,1.787
11/1/23,12:45:42,1.5283
11/1/23,12:45:42,1.3153
11/1/23,12:45:42,1.1315
11/1/23,12:45:42,0.96401
11/1/23,12:45:42,0.79717
11/1/23,12:45:42,0.65487
11/1/23,12:45:42,0.55039
11/1/23,12:45:42,0.44705
11/1/23,12:45:42,0.37567
11/1/23,12:45:42,0.2775
11/1/23,12:45:42,0.20905
11/1/23,12:45:42,0.196
11/1/23,12:45:42,0.12935
11/1/23,12:45:42,0.12777
11/1/23,12:45:42,0.068107
11/1/23,12:45:42,0.059326
11/1/23,12:45:42,0.06473
11/1/23,12:45:42,0.022625
11/1/23,12:45:42,0.022625
11/1/23,12:45:42,0.0086657
11/1/23,12:45:42,0.00033493
11/1/23,12:45:42,0
11/1/23,12:45:42,0.038612
11/1/23,12:45:42,0.012043
11/1/23,12:45:42,0
11/1/23,12:45:42,0.00033493
11/1/23,12:45:42,0.031407
11/1/23,12:45:42,0
11/1/23,12:45:42,0
11/1/23,12:45:42,0
11/1/23,12:45:42,0
