"","Date","rlc_end_time","specimenID","uid","plantID","treatment","temp","rlc_order","rlc_day","run","deltaNPQ","NPQ_Ypoint1","pmax","rETRmax","rETRmaxYpoint1","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"44","2023-11-16","11:51:47","Ac44","2023-11-16_Ac44",22,1,24,22,1,1,0.738,"0.766",97.38,91.98,91.98,0.711,0.027,26.099,0,137,11.7,11.7,0
"45","2023-11-16","11:56:33","Ac45","2023-11-16_Ac45",23,0,24,23,1,1,1.104,"1.109",125.35,118.44,118.44,0.861,0.051,16.833,0,145.6,19.7,7.4,0
"46","2023-11-16","12:01:22","Ac46","2023-11-16_Ac46",23,1,24,23,1,1,1.17,"1.181",99.45,97.19,97.19,0.923,0.053,17.402,0,107.8,12.5,8.6,0
"47","2023-11-16","12:06:06","Ac47","2023-11-16_Ac47",24,0,24,24,1,1,0.765,"0.789",108.51,100.03,100.03,0.759,0.029,25.981,0,142.9,12.4,11.5,0
"48","2023-11-16","12:10:57","Ac48","2023-11-16_Ac48",24,1,24,24,1,1,0.742,"0.762",119.87,112.56,112.56,0.742,0.019,38.359,0,161.7,10,16.2,0
"49","2023-12-04","8:10:11","Ac101","2023-12-04_Ac101",25,0,28,1,1,2,0.407,"0.669",45.34,48.75,44.52,0.38,0.016,23.597,0,119.5,10.7,11.2,0
"50","2023-12-04","8:15:02","Ac103","2023-12-04_Ac103",26,0,28,1,1,2,0.406,"0.652",66.97,68.06,64.68,0.556,0.013,42.945,0,120.5,5.9,20.3,0
"51","2023-12-04","8:19:57","Ac105","2023-12-04_Ac105",27,0,28,2,1,2,0.433,"0.76",60.61,59.86,58.38,0.471,0.008,62.835,0,128.6,4.4,29,0
"52","2023-12-04","8:24:44","Ac107","2023-12-04_Ac107",28,0,28,2,1,2,0.353,"0.571",55.2,58.22,54.6,0.42,0.01,42.349,0,131.6,6.8,19.4,0
"53","2023-12-04","8:29:24","Ac102","2023-12-04_Ac102",25,1,28,3,1,2,0.332,"0.603",44.6,42.84,42.84,0.525,0.023,22.367,0,84.9,7,12.2,0
"54","2023-12-04","8:33:49","Ac104","2023-12-04_Ac104",26,1,28,3,1,2,0.316,"0.487",34.21,35.28,35.28,0.433,0.018,23.507,0,79.1,6,13.2,0
"55","2023-12-04","8:38:21","Ac106","2023-12-04_Ac106",27,1,28,4,1,2,0.863,"1.647",45.25,48.38,44.52,0.531,0.02,26.482,0,85.2,5.9,14.4,0
"56","2023-12-04","8:42:54","Ac108","2023-12-04_Ac108",28,1,28,4,1,2,0.524,"0.959",43.39,42.84,42.84,0.571,0.019,30.156,0,76,4.4,17.2,0
"57","2023-12-04","8:47:32","Ac109","2023-12-04_Ac109",29,0,24,5,1,2,0.345,"0.467",86.05,87.74,79.38,0.577,0.014,42.724,0,149.2,8,18.6,0
"58","2023-12-04","8:52:16","Ac111","2023-12-04_Ac111",30,0,24,5,1,2,0.4,"0.627",46.6,47.03,47.03,0.529,0.021,25.311,0,88.1,6.5,13.6,0
"59","2023-12-04","8:56:47","Ac113","2023-12-04_Ac113",31,0,24,6,1,2,0.366,"0.468",45.57,53.3,38.76,0.296,0.016,18.281,0,153.9,19.6,7.9,0
"60","2023-12-04","9:01:31","Ac115","2023-12-04_Ac115",32,0,24,6,1,2,0.406,"0.658",60.22,66.42,61.32,0.55,0.016,34.291,0,109.6,6.5,16.8,0
"61","2023-12-04","9:06:33","Ac110","2023-12-04_Ac110",29,1,24,7,1,2,0.317,"0.467",35.71,35.7,35.7,0.406,0.014,30.106,0,87.9,5.4,16.2,0
"62","2023-12-04","9:11:51","Ac112","2023-12-04_Ac112",30,1,24,7,1,2,0.411,"0.632",61.37,62.16,62.16,0.603,0.025,23.759,0,101.8,8.5,12,0
"63","2023-12-04","9:16:27","Ac114","2023-12-04_Ac114",31,1,24,8,1,2,0.525,"0.747",65.3,62.16,62.16,0.561,0.017,32.654,0,116.5,7.4,15.7,0
"64","2023-12-04","9:20:58","Ac116","2023-12-04_Ac116",32,1,24,8,1,2,0.434,"0.621",61.74,59.22,59.22,0.533,0.033,16.268,0,115.9,14.8,7.8,0
"65","2023-12-04","9:25:37","Ac117","2023-12-04_Ac117",33,0,28,9,1,2,0.832,"1.06",59.81,59.85,59.85,0.811,0.047,17.311,0,73.8,7.4,10,0
"66","2023-12-04","9:30:01","Ac119","2023-12-04_Ac119",34,0,28,9,1,2,0.44,"0.639",67,65.1,65.1,0.547,0.022,24.685,0,122.4,10.5,11.6,0
"67","2023-12-04","9:34:24","Ac121","2023-12-04_Ac121",35,0,28,10,1,2,0.447,"0.639",57.69,59.04,56.7,0.489,0.014,34.952,0,118.1,7.1,16.7,0
"68","2023-12-04","9:38:52","Ac123","2023-12-04_Ac123",36,0,28,10,1,2,0.484,"0.575",76.44,73.5,73.5,0.569,0.026,21.762,0,134.4,13.6,9.9,0
"69","2023-12-04","9:43:36","Ac118","2023-12-04_Ac118",33,1,28,11,1,2,0.696,"0.968",61.73,59.28,59.28,0.684,0.032,21.089,0,90.2,8,11.2,0
"70","2023-12-04","9:48:06","Ac120","2023-12-04_Ac120",34,1,28,11,1,2,0.414,"0.622",67.32,65.94,65.94,0.581,0.039,15.058,0,115.8,16,7.2,0
"71","2023-12-04","9:52:28","Ac122","2023-12-04_Ac122",35,1,28,12,1,2,0.383,"0.607",60.09,56.7,56.7,0.517,0.034,15.086,0,116.3,16.1,7.2,0
"72","2023-12-04","9:57:13","Ac124","2023-12-04_Ac124",36,1,28,12,1,2,0.707,"0.898",87.18,80.09,80.09,0.722,0.043,16.904,0,120.8,15.1,8,0
"73","2023-12-04","9:59:54","Ac125","2023-12-04_Ac125",37,0,24,13,1,2,0.372,"0.478",64.1,65.6,58.8,0.471,0.017,28.006,0,136.1,10.8,12.6,0
"74","2023-12-04","10:06:36","Ac127","2023-12-04_Ac127",38,0,24,13,1,2,0.502,"0.651",82.81,77.7,77.7,0.576,0.022,25.845,0,143.9,12.6,11.4,0
"75","2023-12-04","10:10:59","Ac129","2023-12-04_Ac129",39,0,24,14,1,2,0.537,"0.732",78.8,75.24,75.24,0.69,0.037,18.612,0,114.3,12.7,9,0
"76","2023-12-04","10:15:40","Ac131","2023-12-04_Ac131",40,0,24,14,1,2,0.559,"0.772",55.33,54.15,54.15,0.574,0.033,17.42,0,96.4,10.7,9,0
"77","2023-12-04","10:20:22","Ac126","2023-12-04_Ac126",37,1,24,15,1,2,0.583,"0.82",65.42,62.98,62.98,0.633,0.035,18.122,0,103.4,11.3,9.1,0
"78","2023-12-04","10:25:09","Ac128","2023-12-04_Ac128",38,1,24,15,1,2,0.742,"1.008",104.89,94.92,94.92,0.608,0.037,16.626,0,172.6,25.2,6.8,0
"79","2023-12-04","10:29:46","Ac130","2023-12-04_Ac130",39,1,24,16,1,2,0.472,"0.515",78.39,78.12,78.12,0.642,0.023,27.944,0,122.1,9.3,13.2,0
"80","2023-12-04","10:34:28","Ac132","2023-12-04_Ac132",40,1,24,16,1,2,0.509,"0.625",61.67,59.22,59.22,0.545,0.025,21.696,0,113.2,10.8,10.5,0
"81","2023-12-04","10:39:05","Ac133","2023-12-04_Ac133",41,0,28,17,1,2,0.603,"0.852",55.4,55.76,53.76,0.563,0.026,21.989,0,98.4,8.7,11.3,0
"82","2023-12-04","10:47:04","Ac135","2023-12-04_Ac135",42,0,28,17,1,2,0.44,"0.5",92.58,93.24,93.24,0.714,0.022,31.91,0,129.7,8.8,14.7,0
"83","2023-12-04","10:51:51","Ac137","2023-12-04_Ac137",43,0,28,18,1,2,0.665,"0.778",73.05,72.24,72.24,0.705,0.023,30.178,0,103.7,6.8,15.2,0
"84","2023-12-04","10:57:17","Ac139","2023-12-04_Ac139",44,0,28,18,1,2,0.313,"0.362",86.05,83.16,83.16,0.573,0.013,42.651,0,150.3,8.1,18.5,0
